Vuosi_code,Vuosi_label,"Sähkön tuotanto ja kulutus, GWh_code","Sähkön tuotanto ja kulutus, GWh_label",Tiedot_code,Tiedot_label,value
2002,2002,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,arvogwh,"Määrä, GWh",19174
2002,2002,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,vv_muutos,Vuosimuutos %,-8.2
2002,2002,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,22.9
2002,2002,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",26.8
2002,2002,17,Muut energialähteet,arvogwh,"Määrä, GWh",258
2002,2002,17,Muut energialähteet,vv_muutos,Vuosimuutos %,5.7
2002,2002,17,Muut energialähteet,osuuskk,Osuus kokonaiskulutuksesta %,0.3
2002,2002,17,Muut energialähteet,osuuskt,"Osuus kokonaistuotannosta, %",0.4
2002,2002,18,SÄHKÖN TUOTANTO YHTEENSÄ,arvogwh,"Määrä, GWh",71631
2002,2002,18,SÄHKÖN TUOTANTO YHTEENSÄ,vv_muutos,Vuosimuutos %,0.6
2002,2002,18,SÄHKÖN TUOTANTO YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,85.7
2002,2002,18,SÄHKÖN TUOTANTO YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",100
2002,2002,19,Sähkön nettotuonti,arvogwh,"Määrä, GWh",11925
2002,2002,19,Sähkön nettotuonti,vv_muutos,Vuosimuutos %,19.7
2002,2002,19,Sähkön nettotuonti,osuuskk,Osuus kokonaiskulutuksesta %,14.3
2002,2002,19,Sähkön nettotuonti,osuuskt,"Osuus kokonaistuotannosta, %",
2002,2002,20,SÄHKÖN KOKONAISKULUTUS,arvogwh,"Määrä, GWh",83556
2002,2002,20,SÄHKÖN KOKONAISKULUTUS,vv_muutos,Vuosimuutos %,2.9
2002,2002,20,SÄHKÖN KOKONAISKULUTUS,osuuskk,Osuus kokonaiskulutuksesta %,100
2002,2002,20,SÄHKÖN KOKONAISKULUTUS,osuuskt,"Osuus kokonaistuotannosta, %",
2003,2003,01,YDINVOIMA,arvogwh,"Määrä, GWh",21830
2003,2003,01,YDINVOIMA,vv_muutos,Vuosimuutos %,2
2003,2003,01,YDINVOIMA,osuuskk,Osuus kokonaiskulutuksesta %,25.6
